,device,epoch,average_training_loss,average_validation_loss,training_acc,validaton_acc,training_time,validation_time
0,cuda:0,0,16.27923583984375,806515.125,0.1076923076923077,0.10679611650485436,0.6075310707092285,0.8053436279296875
1,cuda:0,1,3.543041706085205,2.196744203567505,0.16615384615384615,0.13592233009708737,0.4507443904876709,0.630652904510498
2,cuda:0,2,21.957612991333008,3469.3671875,0.11538461538461539,0.10679611650485436,0.452761173248291,0.6184256076812744
3,cuda:0,3,3.5670952796936035,2.0765273571014404,0.12,0.1262135922330097,0.5118308067321777,0.6830496788024902
4,cuda:0,4,2.0244550704956055,1.653903841972351,0.14153846153846153,0.1553398058252427,0.4703812599182129,0.6409912109375
5,cuda:0,5,2.043850898742676,2.4148848056793213,0.1723076923076923,0.2233009708737864,0.4326605796813965,0.5978231430053711
6,cuda:0,6,3.5798563957214355,2.1676857471466064,0.2276923076923077,0.2524271844660194,0.45166444778442383,0.6245782375335693
7,cuda:0,7,1.779690146446228,2.1213974952697754,0.2276923076923077,0.30097087378640774,0.4367856979370117,0.6026735305786133
8,cuda:0,8,1.7357187271118164,1.904367208480835,0.27384615384615385,0.2912621359223301,0.4240684509277344,0.5880682468414307
9,cuda:0,9,1.7765384912490845,1.524614930152893,0.3261538461538461,0.4077669902912621,0.445401668548584,0.610220193862915
10,cuda:0,10,1.6280715465545654,1.640684723854065,0.3769230769230769,0.33009708737864074,0.46488499641418457,0.6330547332763672
11,cuda:0,11,2.225045680999756,1.7088993787765503,0.4523076923076923,0.4174757281553398,0.4364938735961914,0.6024689674377441
12,cuda:0,12,1.014526128768921,2.069535255432129,0.44153846153846155,0.3495145631067961,0.44765377044677734,0.6144514083862305
13,cuda:0,13,1.9095382690429688,0.8574368357658386,0.46,0.48543689320388345,0.44733333587646484,0.6157026290893555
14,cuda:0,14,3.155514717102051,2.1631369590759277,0.41846153846153844,0.33009708737864074,0.4578843116760254,0.617830753326416
15,cuda:0,15,4.922089576721191,1.4964982271194458,0.3076923076923077,0.3689320388349514,0.5023980140686035,0.6683671474456787
16,cuda:0,16,2.2127702236175537,1.5002458095550537,0.32,0.38834951456310673,0.42450952529907227,0.5890982151031494
17,cuda:0,17,1.5256664752960205,1.458033561706543,0.36615384615384616,0.5145631067961165,0.43857598304748535,0.611591100692749
18,cuda:0,18,1.901460886001587,1.3962832689285278,0.42,0.4077669902912621,0.4296846389770508,0.5915253162384033
19,cuda:0,19,1.4421573877334595,1.5486421585083008,0.43538461538461537,0.5048543689320388,0.46017003059387207,0.6262326240539551
20,cuda:0,20,1.4310169219970703,0.8418620228767395,0.4676923076923077,0.5631067961165048,0.4418051242828369,0.6103641986846924
21,cuda:0,21,1.4824934005737305,1.4075871706008911,0.5246153846153846,0.6407766990291262,0.44272279739379883,0.6139698028564453
22,cuda:0,22,1.3256196975708008,1.3414373397827148,0.5923076923076923,0.6990291262135921,0.43193817138671875,0.6020331382751465
23,cuda:0,23,1.7825815677642822,1.1677945852279663,0.6230769230769231,0.6504854368932038,0.43550539016723633,0.5985074043273926
24,cuda:0,24,1.9967641830444336,0.42467036843299866,0.6553846153846153,0.7378640776699028,0.4414079189300537,0.6145734786987305
25,cuda:0,25,1.144696831703186,0.6681669354438782,0.7138461538461538,0.7378640776699028,0.44951367378234863,0.6098060607910156
26,cuda:0,26,0.5565763711929321,0.12654335796833038,0.7076923076923077,0.7766990291262135,0.4319033622741699,0.6019117832183838
27,cuda:0,27,0.3209725022315979,0.601104736328125,0.7615384615384615,0.8058252427184466,0.49151158332824707,0.6668741703033447
28,cuda:0,28,0.31604400277137756,0.9034891128540039,0.7769230769230769,0.7669902912621358,0.44461846351623535,0.6111721992492676
29,cuda:0,29,0.45271986722946167,0.5343717932701111,0.8123076923076923,0.8543689320388349,0.4468107223510742,0.6189496517181396
30,cuda:0,30,0.19470825791358948,0.43727970123291016,0.8015384615384615,0.7961165048543689,0.44795799255371094,0.6124496459960938
31,cuda:0,31,0.8141730427742004,0.6920042634010315,0.8046153846153846,0.8543689320388349,0.4408109188079834,0.6055340766906738
32,cuda:0,32,4.503943920135498,1.0263035297393799,0.8107692307692308,0.8543689320388349,0.4333956241607666,0.5955502986907959
33,cuda:0,33,0.3692218065261841,0.268003910779953,0.8261538461538461,0.8543689320388349,0.48287034034729004,0.6491007804870605
34,cuda:0,34,0.9809855222702026,0.13412460684776306,0.8323076923076923,0.8543689320388349,0.43573546409606934,0.6033456325531006
35,cuda:0,35,0.9424687623977661,0.6680083274841309,0.8630769230769231,0.8640776699029126,0.434584379196167,0.6065115928649902
36,cuda:0,36,2.679880142211914,0.43554049730300903,0.8153846153846154,0.9029126213592232,0.4225602149963379,0.5973045825958252
37,cuda:0,37,1.1273736953735352,0.2908795475959778,0.8630769230769231,0.8349514563106796,0.42719221115112305,0.5959720611572266
38,cuda:0,38,1.387048602104187,0.2510072886943817,0.8461538461538461,0.8446601941747572,0.43929290771484375,0.6186590194702148
39,cuda:0,39,0.1400129795074463,0.11668737232685089,0.8676923076923077,0.9126213592233009,0.4223439693450928,0.5919902324676514
40,cuda:0,40,0.16950568556785583,1.0859493017196655,0.8938461538461538,0.7864077669902912,0.44881558418273926,0.6089575290679932
41,cuda:0,41,0.13510553538799286,0.5283435583114624,0.8953846153846153,0.8932038834951456,0.44280457496643066,0.6013705730438232
42,cuda:0,42,2.1357080936431885,0.06588364392518997,0.9261538461538461,0.9126213592233009,0.42679715156555176,0.5881297588348389
43,cuda:0,43,0.16272595524787903,0.12859807908535004,0.9015384615384615,0.9223300970873786,0.45995354652404785,0.6348855495452881
44,cuda:0,44,1.1212961673736572,0.10749267041683197,0.9276923076923077,0.9320388349514562,0.43812131881713867,0.6145455837249756
45,cuda:0,45,0.3395882546901703,0.0571882501244545,0.9415384615384615,0.9223300970873786,0.4396531581878662,0.6094536781311035
46,cuda:0,46,0.055848799645900726,0.04209431633353233,0.9446153846153846,0.9223300970873786,0.44562792778015137,0.6067841053009033
47,cuda:0,47,0.5645315051078796,0.18440459668636322,0.92,0.9126213592233009,0.43368077278137207,0.593907356262207
48,cuda:0,48,1.5821161270141602,0.4176386296749115,0.936923076923077,0.8932038834951456,0.44515395164489746,0.6105818748474121
49,cuda:0,49,0.7310430407524109,0.6071845293045044,0.8538461538461538,0.8543689320388349,0.4541614055633545,0.6258072853088379
50,cuda:0,50,0.08726150542497635,0.8229807615280151,0.88,0.8446601941747572,0.4435548782348633,0.609522819519043
51,cuda:0,51,0.07521548867225647,0.03427734598517418,0.9338461538461539,0.8932038834951456,0.4307854175567627,0.5958080291748047
52,cuda:0,52,0.3335362672805786,0.21889348328113556,0.9261538461538461,0.8834951456310679,0.4467024803161621,0.6180932521820068
53,cuda:0,53,1.6343616247177124,0.09990034997463226,0.9307692307692308,0.8834951456310679,0.42011356353759766,0.581953763961792
54,cuda:0,54,0.6709137558937073,0.07126794755458832,0.9230769230769231,0.8640776699029126,0.44445085525512695,0.6050765514373779
55,cuda:0,55,0.5739806890487671,0.007733325008302927,0.9338461538461539,0.9320388349514562,0.4473414421081543,0.6124184131622314
56,cuda:0,56,0.9580510258674622,0.0056416005827486515,0.9215384615384615,0.9223300970873786,0.4549694061279297,0.619483470916748
57,cuda:0,57,0.27345800399780273,0.04445641487836838,0.92,0.8737864077669902,0.45458316802978516,0.6194593906402588
58,cuda:0,58,1.353846549987793,0.08688504248857498,0.9461538461538461,0.9223300970873786,0.43265581130981445,0.6008796691894531
59,cuda:0,59,0.5738855600357056,0.23125328123569489,0.9138461538461539,0.9320388349514562,0.48119354248046875,0.6504623889923096
60,cuda:0,60,0.20084746181964874,0.03587821498513222,0.9461538461538461,0.9126213592233009,0.4364173412322998,0.6053380966186523
61,cuda:0,61,1.2916617393493652,0.9776559472084045,0.9615384615384616,0.9514563106796116,0.44153523445129395,0.615502119064331
62,cuda:0,62,0.03446540981531143,0.4184861481189728,0.9492307692307692,0.9126213592233009,0.429124116897583,0.5956501960754395
