,device,epoch,average_training_loss,average_validation_loss,training_acc,validaton_acc,training_time,validation_time
0,cuda:0,0,0.6156191378831863,0.6656114030629396,0.71875,0.46875,1.1199662685394287,0.49858808517456055
1,cuda:0,1,0.5578421084210277,0.640843890607357,0.84375,0.6875,1.1060805320739746,0.4751310348510742
2,cuda:0,2,0.5139155378565192,0.6683962550014257,0.84375,0.71875,1.1219203472137451,0.4831688404083252
3,cuda:0,3,0.4691663486883044,0.6338453590869904,0.90625,0.59375,1.1024219989776611,0.4853088855743408
4,cuda:0,4,0.4971917122602463,0.6400905139744282,0.84375,0.65625,1.115002155303955,0.478806734085083
5,cuda:0,5,0.4747092816978693,0.6172278532758355,0.84375,0.71875,1.1071925163269043,0.477323055267334
6,cuda:0,6,0.43475562217645347,0.6064432971179485,0.9375,0.625,1.1069228649139404,0.483447790145874
7,cuda:0,7,0.4441434321925044,0.5972034456208348,0.84375,0.8125,1.098696231842041,0.4747598171234131
8,cuda:0,8,0.4099273690953851,0.573239779099822,0.9375,0.96875,1.1193478107452393,0.48140525817871094
9,cuda:0,9,0.4309460036456585,0.6328993765637279,0.90625,0.84375,1.1066513061523438,0.48584461212158203
10,cuda:0,10,0.40642905700951815,0.5463218716904521,0.9375,0.84375,1.1244466304779053,0.47895026206970215
11,cuda:0,11,0.39965241495519876,0.582699254155159,0.875,0.8125,1.107344388961792,0.4723196029663086
12,cuda:0,12,0.4023399124853313,0.573004262521863,0.875,0.71875,1.1188135147094727,0.48064374923706055
13,cuda:0,13,0.37425193283706903,0.5628176461905241,0.90625,0.84375,1.097970962524414,0.4781363010406494
14,cuda:0,14,0.40018750727176666,0.5553003260865808,0.90625,0.875,1.1108572483062744,0.47404909133911133
15,cuda:0,15,0.3897351985797286,0.5472683338448405,1.0,0.71875,1.101203203201294,0.4756169319152832
16,cuda:0,16,0.37097957893274724,0.5601162491366267,0.9375,0.78125,1.1111981868743896,0.4712986946105957
17,cuda:0,17,0.370093846693635,0.5565271200612187,0.9375,0.78125,1.1120431423187256,0.47811341285705566
18,cuda:0,18,0.3288754331879318,0.5153902200981975,0.96875,0.9375,1.1094675064086914,0.48209691047668457
19,cuda:0,19,0.3399633662775159,0.563056274317205,0.96875,0.875,1.103302001953125,0.46628832817077637
20,cuda:0,20,0.3646105113439262,0.5488788327202201,0.84375,0.75,1.115473747253418,0.4734771251678467
21,cuda:0,21,0.36257830262184143,0.5304722739383578,0.90625,0.875,1.1101527214050293,0.482297420501709
22,cuda:0,22,0.32872683741152287,0.4954136861488223,0.9375,0.78125,1.1115193367004395,0.48288559913635254
23,cuda:0,23,0.3198219761252403,0.5330602852627635,0.875,0.8125,1.1067898273468018,0.48183345794677734
24,cuda:0,24,0.30347603699192405,0.543450846336782,0.96875,0.875,1.1028616428375244,0.460756778717041
25,cuda:0,25,0.3124898662790656,0.5525407055392861,0.96875,0.75,1.1156353950500488,0.47136497497558594
26,cuda:0,26,0.28845843207091093,0.5254598008468747,0.96875,0.84375,1.1015098094940186,0.46720147132873535
27,cuda:0,27,0.30676802061498165,0.5609713876619935,0.90625,0.8125,1.1143503189086914,0.47826457023620605
28,cuda:0,28,0.3339057918637991,0.5574974780902267,0.96875,0.875,1.1068572998046875,0.493086576461792
29,cuda:0,29,0.31419867696240544,0.5728088822215796,1.0,0.6875,1.113248348236084,0.5001873970031738
30,cuda:0,30,0.2768981852568686,0.5044571049511433,0.96875,0.90625,1.0978310108184814,0.4751317501068115
31,cuda:0,31,0.29474161053076386,0.5100287282839417,0.9375,0.8125,1.1123218536376953,0.47658872604370117
32,cuda:0,32,0.2873605387285352,0.5502236131578684,0.90625,0.8125,1.1061367988586426,0.4859936237335205
33,cuda:0,33,0.2794924583286047,0.48717994149774313,0.96875,0.8125,1.1132595539093018,0.4706439971923828
34,cuda:0,34,0.2629884711932391,0.4938246086239815,0.96875,0.78125,1.1111631393432617,0.4657869338989258
35,cuda:0,35,0.25451544392853975,0.5958030894398689,0.9375,0.84375,1.1255371570587158,0.4667801856994629
36,cuda:0,36,0.28034619241952896,0.519653202034533,0.9375,0.875,1.112030267715454,0.4840660095214844
37,cuda:0,37,0.28376586362719536,0.5116198109462857,0.96875,0.96875,1.1057050228118896,0.474376916885376
38,cuda:0,38,0.2694075871258974,0.6491406857967377,1.0,0.875,1.0988950729370117,0.4717686176300049
39,cuda:0,39,0.29000244149938226,0.5502568073570728,0.9375,0.90625,1.1025004386901855,0.4771308898925781
40,cuda:0,40,0.2574850544333458,0.5091200741007924,0.90625,0.875,1.112746238708496,0.48532557487487793
41,cuda:0,41,0.316358620300889,0.5087912166491151,0.90625,0.96875,1.104968786239624,0.47949838638305664
42,cuda:0,42,0.28243798669427633,0.5213846424594522,0.90625,0.84375,1.1088752746582031,0.48097848892211914
43,cuda:0,43,0.24486419139429927,0.5507855070754886,0.96875,0.9375,1.1061170101165771,0.47838902473449707
44,cuda:0,44,0.24959408165886998,0.5165673131123185,0.96875,0.90625,1.1178131103515625,0.4831562042236328
45,cuda:0,45,0.24503553425893188,0.5848734695464373,0.96875,0.6875,1.1206815242767334,0.4642481803894043
46,cuda:0,46,0.29486849484965205,0.5669370479881763,0.9375,0.75,1.1164805889129639,0.4777665138244629
47,cuda:0,47,0.23811383079737425,0.546085356734693,0.96875,0.84375,1.1085810661315918,0.4932243824005127
48,cuda:0,48,0.2580808780621737,0.49660483840852976,0.96875,0.8125,1.1179375648498535,0.4805328845977783
49,cuda:0,49,0.26151006342843175,0.5450694859027863,0.90625,0.84375,1.114720106124878,0.4729444980621338
