,device,epoch,average_training_loss,average_validation_loss,training_acc,validaton_acc,training_time,validation_time
0,cuda:0,0,0.40565632563084364,0.9137998968362808,1.0,0.21875,1.2778980731964111,0.496478796005249
1,cuda:0,1,0.117163663264364,1.1344916336238384,1.0,0.15625,1.1014959812164307,0.4837615489959717
2,cuda:0,2,0.04928887338610366,1.3810286037623882,1.0,0.15625,1.101637363433838,0.48105788230895996
3,cuda:0,3,0.025507916972856037,1.4876111224293709,1.0,0.125,1.0903077125549316,0.4775664806365967
4,cuda:0,4,0.01583484117873013,1.6427896954119205,1.0,0.09375,1.1045541763305664,0.4790353775024414
5,cuda:0,5,0.010539963754126802,1.7809904925525188,1.0,0.03125,1.0974507331848145,0.4743485450744629
6,cuda:0,6,0.007553844450740144,1.7934414502233267,1.0,0.03125,1.106461524963379,0.48636841773986816
7,cuda:0,7,0.005678731293301098,1.9088682867586613,1.0,0.03125,1.093003273010254,0.4788393974304199
8,cuda:0,8,0.004609818330209237,1.970852367579937,1.0,0.125,1.1128606796264648,0.4821598529815674
9,cuda:0,9,0.003675588912301464,2.0165625102818012,1.0,0.125,1.1059694290161133,0.49227428436279297
10,cuda:0,10,0.003213370087905787,2.0593437552452087,1.0,0.125,1.1021003723144531,0.47304272651672363
11,cuda:0,11,0.0026067747057823,2.1128511913120747,1.0,0.0625,1.0996174812316895,0.46837520599365234
12,cuda:0,12,0.00221868661174085,2.1649338640272617,1.0,0.0625,1.1035795211791992,0.46341657638549805
13,cuda:0,13,0.001988740568776848,2.207334354519844,1.0,0.03125,1.110215663909912,0.48236536979675293
14,cuda:0,14,0.0017097923846449703,2.193253494799137,1.0,0.09375,1.1086986064910889,0.4742245674133301
15,cuda:0,15,0.001490103635660489,2.2460664734244347,1.0,0.09375,1.1043286323547363,0.4611678123474121
16,cuda:0,16,0.0013056480402156012,2.2924863658845425,1.0,0.09375,1.1012310981750488,0.47719717025756836
17,cuda:0,17,0.001183848587970715,2.3246040046215057,1.0,0.09375,1.1050822734832764,0.48566699028015137
18,cuda:0,18,0.0010619066233630292,2.3609197586774826,1.0,0.09375,1.102600336074829,0.4707057476043701
19,cuda:0,19,0.0009720019543237868,2.4254438877105713,1.0,0.125,1.0982630252838135,0.4726297855377197
20,cuda:0,20,0.0009221025102306157,2.37983376160264,1.0,0.0625,1.1061179637908936,0.47189831733703613
21,cuda:0,21,0.0008166001152858371,2.447049416601658,1.0,0.0625,1.104649543762207,0.4687960147857666
22,cuda:0,22,0.0007491101059713401,2.4586716517806053,1.0,0.125,1.1018457412719727,0.4651052951812744
23,cuda:0,23,0.0006817108223913237,2.461442057043314,1.0,0.0,1.0963420867919922,0.4633331298828125
24,cuda:0,24,0.0006315058208201663,2.532324366271496,1.0,0.125,1.1229100227355957,0.47187113761901855
25,cuda:0,25,0.0005980187370369094,2.562382485717535,1.0,0.0625,1.1050732135772705,0.4657440185546875
26,cuda:0,26,0.000560683475669066,2.56945326551795,1.0,0.0,1.0974867343902588,0.46654272079467773
27,cuda:0,27,0.0005037690743847634,2.597335536032915,1.0,0.0,1.1053152084350586,0.47385311126708984
28,cuda:0,28,0.0004753365074066096,2.630447991192341,1.0,0.09375,1.1103146076202393,0.47864198684692383
29,cuda:0,29,0.0004523704778875981,2.620297808200121,1.0,0.0625,1.1087305545806885,0.4833180904388428
30,cuda:0,30,0.0004373308511276264,2.647656846791506,1.0,0.03125,1.1110036373138428,0.4638833999633789
31,cuda:0,31,0.00039382589329761686,2.6714642122387886,1.0,0.0625,1.106943130493164,0.48291468620300293
32,cuda:0,32,0.00036796273161598947,2.674736090004444,1.0,0.03125,1.097144365310669,0.4718286991119385
33,cuda:0,33,0.00035375404650039854,2.655442424118519,1.0,0.09375,1.1104390621185303,0.4921455383300781
34,cuda:0,34,0.0003288421371507866,2.713296242058277,1.0,0.0625,1.1002178192138672,0.477405309677124
35,cuda:0,35,0.0003062820007926348,2.732969343662262,1.0,0.03125,1.1056079864501953,0.47502732276916504
36,cuda:0,36,0.00030348943391800276,2.7190616950392723,1.0,0.0,1.108020305633545,0.4691774845123291
37,cuda:0,37,0.0002864286775547953,2.7418242841959,1.0,0.0625,1.0985677242279053,0.4560058116912842
38,cuda:0,38,0.0002741822195275745,2.808742508292198,1.0,0.0625,1.0994939804077148,0.47941136360168457
39,cuda:0,39,0.0002582193856142112,2.8118365183472633,1.0,0.0,1.1017343997955322,0.46977782249450684
40,cuda:0,40,0.000247460630362184,2.796637147665024,1.0,0.125,1.100404977798462,0.4636650085449219
41,cuda:0,41,0.00023327776443693438,2.8079907558858395,1.0,0.09375,1.0999839305877686,0.4703993797302246
42,cuda:0,42,0.00021678257053281413,2.836891233921051,1.0,0.09375,1.0965442657470703,0.4825711250305176
43,cuda:0,43,0.0002110143923346186,2.8346604518592358,1.0,0.15625,1.0918774604797363,0.4810755252838135
44,cuda:0,44,0.00020063187798768922,2.8235115110874176,1.0,0.0625,1.0947816371917725,0.4727458953857422
45,cuda:0,45,0.0001929650647980452,2.8484689071774483,1.0,0.09375,1.1077907085418701,0.46770715713500977
46,cuda:0,46,0.00018669330529519357,2.8846263363957405,1.0,0.0,1.0953364372253418,0.4703788757324219
47,cuda:0,47,0.00018292424374521943,2.941083461046219,1.0,0.0625,1.098825216293335,0.48539257049560547
48,cuda:0,48,0.00017177932750200853,2.9282502084970474,1.0,0.0,1.087731122970581,0.46315693855285645
49,cuda:0,49,0.00016415640880040883,2.9044799879193306,1.0,0.0625,1.1048338413238525,0.4706106185913086
